0,1,2,3,4,5,6,7,8,9,10
County / Parish / Borough,State,# of properties*,Population 2015*,APN Format*,Example APN*,Website,Seat,Year Organized,Square Miles*,People / SQML*
Stewart,Tennessee,"11,445","13,362",000-000.00,100-001.00,http://www.stewartcountygovernment.com/,Dover,1803,493,27
Sullivan,Tennessee,"76,798","156,595",000-000.00-T,100-001.00-T,http://sullivancountytn.gov/,Blountville,1779,430,364
Sumner,Tennessee,"72,251","168,888",000-000.00,100-001.00,http://www.sumnertn.org/,Gallatin,1786,543,311
Tipton,Tennessee,"28,346","61,586",00-0-00.,10-0-76.,http://www.tiptonco.com/,Covington,1823,473,130
Trousdale,Tennessee,"4,871","7,828",00-0-00.,10-0-44.,N/A,Hartsville,1870,117,67
Unicoi,Tennessee,"10,350","18,082",000-00000-000,121-41201-000,http://www.unicoicountytn.gov/,Erwin,1875,186,97
Union,Tennessee,"14,245","19,102",00000-0.00-000.00000,10010-0.10-035.00000,http://www.unioncountytn.com/,Maynardville,1850,247,77
Van Buren,Tennessee,"7,182","5,583",000-000.00,112-002.00,N/A,Spencer,1840,275,20
Warren,Tennessee,"22,413","39,965",00-0-00.,10-0-98.,http://www.warrencountytn.gov/,McMinnville,1807,434,92
Washington,Tennessee,"57,004","125,546",000-000.00,100-001.00,http://www.washingtoncountytn.org/,Jonesborough,1777,330,381
Wayne,Tennessee,"12,722","16,939",00-0-00.,10-1-00.,http://www.waynecountytn.org/,Waynesboro,1817,736,23
Weakley,Tennessee,"19,777","34,450",00-0-00M.-A,10-1-21M.-A,http://www.weakleycountytn.gov/,Dresden,1823,582,59
White,Tennessee,"16,767","26,244",000-000.00,100-001.00,N/A,Sparta,1806,379,69
Williamson,Tennessee,"87,781","198,901",00-00-00-.00,10-80-02-.02,http://www.williamsoncounty-tn.gov/,Franklin,1799,584,341
Wilson,Tennessee,"52,553","121,945",00-0-00P.-A,10-0-58P.-A,http://www.wilsoncountytn.com/,Lebanon,1799,583,209
