month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202103,42017,"bucks, pa",538950,-0.0626,0.0781,500,0.073,-0.5192,51,-0.306122449,0.051546392,552,0.5333,-0.1039,52,0.1818,1.6,104,0.3684,-0.5738,946,0.0849,2.5037,219.8533573,-0.0094,0.126,2387,-0.0396,-0.0721,863889.0486,-0.0291,0.1972,1446,0.0807,0.1038,1.892,0.0208,1.6324
202103,6017,"el dorado, ca",762449.5,0.0339,0.3056,279,-0.0211,-0.6606,23,-0.342857143,-0.494505495,308,-0.0375,-0.2143,12,2,0.5,56,-0.2632,-0.7455,481,0.0642,0.1703,319.6313814,-0.0063,0.1929,2356,0.0086,0.0685,1532523.194,0.1209,1.0615,760,0.0312,-0.3836,1.724014337,0.138,1.224
202103,37045,"cleveland, nc",249900,0.1336,0.1469,77,-0.2062,-0.5127,32,-0.255813953,-0.346938776,76,0.1875,0.3571,4,-0.75,,8,0,-0.7143,143,0.1349,0.5376,131.4028656,0.0355,0.1666,1739.5,0.0764,-0.0695,306083.3189,0.0789,0.0868,220,-0.0135,-0.1235,1.857142857,0.5582,1.2685
202103,39157,"tuscarawas, oh",196400,-0.0884,0.2972,53,-0.0364,-0.6214,34,-0.276595745,-0.46031746,44,0.2222,-0.3529,0,,,12,0.5,-0.625,101,0,-0.114,101.1075949,0.0729,0.2959,1926,0.0355,0.1673,255700.3525,-0.0434,0.4741,154,-0.0128,-0.3937,1.905660377,0.0693,1.0914
202103,55141,"wood, wi",162450,0,-0.0301,151,-0.0382,-0.4302,47,-0.419753086,-0.248,68,0.2143,-0.0556,0,,,8,0,-0.75,24,0.1429,-0.1724,98.17477876,0.0207,0.07,1776.5,0.0074,0.0453,210173.0308,-0.0093,0.0587,175,-0.0169,-0.4048,0.158940397,0.0252,0.0495
202103,51067,"franklin, va",402400,0.1104,0.1181,88,0.0115,-0.6349,37,-0.525641026,-0.567251462,44,0.1,-0.3889,0,,,28,2.5,-0.5333,111,0.0673,0.0882,180.5476851,0.3104,0.2032,2252,-0.0919,-0.0956,687121.185,0.1027,0.2715,199,0.0419,-0.4198,1.261363636,0.066,0.8381
202103,48485,"wichita, tx",141500,0.0893,-0.092,86,-0.1134,-0.7024,41,0.064935065,-0.23364486,76,0,-0.2963,0,,,24,0.2,-0.6,75,0.1029,0.2712,87.01900087,-0.0139,0.0071,1578.5,0.0361,-0.1279,199899.1603,-0.0196,-0.1006,161,-0.0242,-0.5374,0.872093023,0.1711,0.6679
202103,13015,"bartow, ga",322400,0.0571,0.2924,177,-0.0167,-0.6728,29,-0.246753247,-0.482142857,184,0.2432,-0.3429,48,0,3,32,0.3333,-0.7895,412,0.0249,0.1771,128.9611127,-0.0082,0.1342,2002,-0.0005,0.0629,407932.3442,-0.0788,0.1134,589,0.012,-0.3389,2.327683616,0.0944,1.6807
202103,48497,"wise, tx",343450,0.1142,0.1187,74,-0.26,-0.698,32,0.306122449,-0.433628319,68,-0.15,-0.15,12,0,,12,0.5,-0.8,214,0.2229,0.7983,161.9198586,0.0508,0.136,2186.5,0.0156,0.0258,436199.3865,0.0487,0.2732,288,0.0473,-0.2088,2.891891892,1.1419,2.4062
202103,27137,"st. louis, mn",231500,-0.0149,0.007,343,-0.0551,-0.6197,97,-0.262357414,-0.340136054,216,1.4545,-0.1818,0,,,28,0.1667,-0.6316,358,0.1474,-0.0428,156.0052296,-0.0139,0.0392,1390,0.0546,-0.0367,376039.9223,0.0068,0.1381,701,0.0385,-0.4506,1.043731778,0.1842,0.6291
